Name,Price,rating
"Realme 5i (Forest Green, 64 GB)","₹9,999",4.4
"Realme 5i (Aqua Blue, 64 GB)","₹9,999",4.4
"Realme 5 (Crystal Purple, 32 GB)","₹9,999",4.5
"Vivo U10 (Electric Blue, 32 GB)","₹9,990",4.4
"Realme 5 (Crystal Blue, 32 GB)","₹9,999",4.5
"Redmi Note 7S (Onyx Black, 32 GB)","₹9,999",4.4
"Vivo Y91 (Nebula Purple, 32 GB)","₹8,999",4.4
"Samsung Galaxy A10s (Black, 32 GB)","₹8,980",4.4
"Motorola One Macro (Space Blue, 64 GB)","₹9,499",4.3
"Vivo U10 (Thunder Black, 32 GB)","₹9,990",4.4
"Vivo Y12 (Aqua Blue, 64 GB)","₹10,990",4.4
"Vivo Y12 (Burgundy Red, 64 GB)","₹10,990",4.4
"Motorola One Macro (Ultra Violet, 64 GB)","₹9,499",4.3
"Vivo Y91 (Starry Black, 32 GB)","₹8,999",4.4
"Realme 3 (Dynamic Black, 64 GB)","₹9,499",4.4
"Honor 9N (Midnight Black, 128 GB)","₹9,499",4.3
"Realme 3 (Radiant Blue, 64 GB)","₹9,499",4.4
"Lenovo K10 Note (Black, 64 GB)","₹9,999",4.2
"OPPO A5s (Blue, 32 GB)","₹8,990",4.3
"Samsung Galaxy A10s (Black, 32 GB)","₹10,099",4.3
"OPPO A1K (Red, 32 GB)","₹7,990",4.3
"Moto G7 (Black, 64 GB)","₹9,999",4.3
"Redmi Note 7S (Sapphire Blue, 32 GB)","₹9,999",4.4
"OPPO A5s (Black, 32 GB)","₹9,490",4.4
